count,free,total,used,sm_efficiency,achieved_occupancy,ipc,issued_ipc,issue_slot_utilization,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,tex_cache_throughput,tex_fu_utilization,single_precision_fu_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,stall_memory_throttle,stall_not_selected,l2_read_transactions,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,dram_utilization,eligible_warps_per_cycle,website
11,1956118528,4148273152,2192154624,37.609562,0.458793,0.779661,0.843882,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.245053,13.837723,40.651976,8.266535,27.589089,0.310948,1.504159,1.166402,287,239630258,119815129,268647984,125431463,1,1.140741,none
12,1956151296,4148273152,2192121856,47.504990,0.460066,0.737475,0.850159,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.305964,13.927398,40.840407,8.283911,28.107698,0.310089,1.512388,1.158828,287,239630258,119815129,268647984,125431463,1,1.114788,none
13,1956151296,4148273152,2192121856,37.584695,0.459995,0.778013,0.830737,20.382166,239630258,119815129,239630258,119815129,239630258,2,2,6.228791,13.790488,40.411758,8.203464,28.666980,0.309411,1.609126,1.156179,287,239630258,119815129,268647984,125431463,1,1.139683,none
14,1956151296,4148273152,2192121856,37.589215,0.458841,0.773922,0.849257,19.855222,239630258,119815129,239630258,119815129,239630258,3,2,6.275013,13.846386,40.884398,8.220006,28.000453,0.317905,1.512503,1.172676,287,239630258,119815129,268647984,125431463,1,1.133544,none
15,1956151296,4148273152,2192121856,37.609562,0.459675,0.780488,0.843882,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.246212,13.993472,40.477181,8.238906,28.227025,0.308781,1.492086,1.172574,287,239630258,119815129,268647984,125431463,1,1.143464,none
16,1956167680,4148273152,2192105472,37.589215,0.460021,0.776371,0.849257,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.051558,13.713510,40.708066,8.271220,29.750600,0.309949,1.615717,1.173620,287,239630258,119815129,268647984,125431463,1,1.135933,none
17,1956167680,4148273152,2192105472,37.584695,0.458772,0.776371,0.843882,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.272068,13.984449,40.593086,8.200679,27.041365,0.311396,1.614615,1.168456,287,239630258,119815129,268647984,125431463,1,1.124477,none
18,1956167680,4148273152,2192105472,37.604125,0.458995,0.775553,0.850159,20.189274,239630258,119815129,239630258,119815129,239630258,3,2,6.321314,13.694521,40.598730,8.326637,27.973960,0.314144,1.470087,1.165085,287,239630258,119815129,268647984,125431463,1,1.133544,none
19,1956184064,4148273152,2192089088,37.534902,0.459675,0.779661,0.843882,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.241290,13.789442,40.633515,7.910426,27.639492,0.308421,1.523473,1.165528,287,239630258,119815129,268647984,125431463,1,1.141039,none
20,1956167680,4148273152,2192105472,37.613952,0.459081,0.764278,0.849257,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.261538,13.977557,40.580206,8.268076,27.991971,0.299817,1.616698,1.138548,287,239630258,119815129,268647984,125431463,1,1.134249,none
21,1956200448,4148273152,2192072704,37.559809,0.459673,0.779661,0.842993,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.263745,13.848263,40.385917,8.216486,27.822749,0.304358,1.531480,1.152553,287,239630258,119815129,268647984,125431463,1,1.142100,none
22,1956200448,4148273152,2192072704,37.589215,0.459349,0.773922,0.844773,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.297601,13.696179,40.655055,8.267477,27.971843,0.313160,1.496712,1.167359,287,239630258,119815129,268647984,125431463,1,1.134249,none
23,1956200448,4148273152,2192072704,37.559809,0.459760,0.777191,0.843882,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.122828,13.714477,40.480242,8.090831,27.633708,0.311846,1.494058,1.160446,287,239630258,119815129,268647984,125431463,1,1.138332,none
24,1956200448,4148273152,2192072704,37.539683,0.459938,0.775553,0.847458,20.041754,239630258,119815129,239630258,119815129,239630258,3,2,6.318190,13.753870,40.782972,8.210867,28.093048,0.311101,1.503588,1.139302,287,239630258,119815129,268647984,125431463,1,1.135021,none
25,1956200448,4148273152,2192072704,37.609562,0.459741,0.782147,0.842105,20.231823,239630258,119815129,239630258,119815129,239630258,3,2,5.928159,14.028613,40.584366,8.219747,27.680097,0.312072,1.616514,1.171905,287,239630258,119815129,268647984,125431463,1,1.136364,none
26,1956200448,4148273152,2192072704,37.589215,0.459147,0.778013,0.840336,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.317710,13.888259,40.735949,8.221711,28.281802,0.318049,1.505589,1.162438,287,239630258,119815129,268647984,125431463,1,1.135164,none
27,1956167680,4148273152,2192105472,37.559809,0.459675,0.781316,0.845666,20.382166,239630258,119815129,239630258,119815129,239630258,3,2,6.237470,14.052674,40.975391,8.216645,27.872898,0.311302,1.616821,1.166679,287,239630258,119815129,268647984,125431463,1,1.143160,none
28,1956200448,4148273152,2192072704,34.307179,0.459897,0.770681,0.849257,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.322998,13.763343,40.662753,8.207237,27.939064,0.310677,1.511239,1.175177,287,239630258,119815129,268647984,125431463,1,1.135021,none
29,1956200448,4148273152,2192072704,37.634409,0.458663,0.781316,0.843882,19.611849,239630258,119815129,239630258,119815129,239630258,3,2,6.273735,13.798338,40.594621,8.264369,27.811660,0.311680,1.491525,1.169768,287,239630258,119815129,268647984,125431463,1,1.122129,none
30,1956184064,4148273152,2192089088,37.589215,0.459173,0.775553,0.841220,20.295983,239630258,119815129,239630258,119815129,239630258,3,2,6.330223,13.625203,40.661678,8.280376,28.017437,0.313728,1.612903,1.162747,287,239630258,119815129,268647984,125431463,1,1.135021,none
31,1949024256,4148273152,2199248896,37.609562,0.458816,0.780488,0.843882,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.129092,13.989755,40.658310,8.244963,27.744398,0.307785,1.418413,1.134715,287,239630258,119815129,268647984,125431463,1,1.140426,none
32,1946480640,4148273152,2201792512,37.554585,0.459431,0.775553,0.849257,19.875776,239630258,119815129,239630258,119815129,239630258,3,2,6.314350,13.919511,40.712092,8.273108,28.092949,0.308178,1.501991,1.153656,287,239630258,119815129,268647984,125431463,1,1.134249,none
33,1946480640,4148273152,2201792512,37.609562,0.459765,0.780488,0.845666,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.131463,13.857764,40.528768,8.234225,27.866169,0.312738,1.500000,1.158023,287,239630258,119815129,268647984,125431463,1,1.137566,none
34,1946480640,4148273152,2201792512,37.613952,0.459302,0.778013,0.846561,20.295983,239630258,119815129,239630258,119815129,239630258,3,2,6.313630,13.700243,42.808358,8.254619,27.885305,0.314525,1.469753,1.128626,287,239630258,119815129,268647984,125431463,1,1.135164,none
35,1946480640,4148273152,2201792512,37.931034,0.459633,0.778013,0.842993,20.382166,239630258,119815129,239630258,119815129,239630258,3,2,6.268442,14.000911,41.312853,8.213800,27.295560,0.311692,1.484369,1.179066,287,239630258,119815129,268647984,125431463,1,1.136220,none
36,1946447872,4148273152,2201825280,37.554585,0.458972,0.776371,0.844773,20.125786,239630258,119815129,239630258,119815129,239630258,3,2,6.315070,13.789442,40.002242,7.912128,28.030188,0.309668,1.507251,1.171535,287,239630258,119815129,268647984,125431463,1,1.131857,none
37,1946464256,4148273152,2201808896,38.852011,0.460304,0.779661,0.845666,19.335347,239630258,119815129,239630258,119815129,239630258,3,2,6.241735,13.864104,40.661213,8.234848,27.855567,0.310559,1.492144,1.170524,287,239630258,119815129,268647984,125431463,1,1.138771,none
38,1946464256,4148273152,2201808896,37.624156,0.459939,0.772298,0.846561,20.189274,239630258,119815129,239630258,119815129,239630258,2,2,6.318911,13.627091,40.753007,8.292367,28.076821,0.316122,1.491083,1.162571,287,239630258,119815129,268647984,125431463,1,1.121748,none
39,1946464256,4148273152,2201808896,37.559809,0.459675,0.779661,0.845666,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.240349,13.661627,40.485769,8.184451,27.657964,0.300940,1.523587,1.151646,287,239630258,119815129,268647984,125431463,1,1.140741,none
40,1946464256,4148273152,2201808896,37.663366,0.459916,0.775553,0.838574,20.189274,239630258,119815129,239630258,119815129,239630258,3,2,6.329982,13.868723,41.169333,8.293947,28.828154,0.309960,1.505131,1.122807,287,239630258,119815129,268647984,125431463,1,1.132771,none
41,1946464256,4148273152,2201808896,37.906423,0.459868,0.781316,0.844773,20.295983,239630258,119815129,239630258,119815129,239630258,3,2,6.256628,13.835616,40.657675,8.230266,27.914227,0.312012,1.250095,1.157847,287,239630258,119815129,268647984,125431463,1,1.129202,none
42,1946464256,4148273152,2201808896,38.274510,0.459836,0.777191,0.847458,20.146905,239630258,119815129,239630258,119815129,239630258,3,2,6.310993,13.885110,40.929077,8.263710,28.012128,0.314597,1.508169,1.154560,287,239630258,119815129,268647984,125431463,1,1.132632,none
43,1946464256,4148273152,2201808896,37.634409,0.460591,0.778836,0.844773,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.284847,13.961150,40.641205,8.251414,28.063675,0.310488,1.534440,1.166990,287,239630258,119815129,268647984,125431463,1,1.141039,none
44,1946464256,4148273152,2201808896,37.895570,0.459921,0.778013,0.848356,20.146905,239630258,119815129,239630258,119815129,239630258,3,2,6.303095,13.714027,40.896827,8.204451,28.145054,0.310124,1.513020,1.163494,287,239630258,119815129,268647984,125431463,1,1.131165,none
45,1946464256,4148273152,2201808896,37.733598,0.459929,0.782147,0.846561,20.360551,239630258,119815129,239630258,119815129,239630258,2,2,6.262795,13.850373,40.464816,8.180621,27.637291,0.311621,1.611073,1.158991,287,239630258,119815129,268647984,125431463,1,1.136653,none
46,1946431488,4148273152,2201841664,37.638669,0.459987,0.767466,0.844773,20.146905,239630258,119815129,239630258,119815129,239630258,3,2,6.207747,13.865197,40.618816,8.277932,27.995152,0.314001,1.474332,1.157043,287,239630258,119815129,268647984,125431463,1,1.135164,none
47,1946497024,4148273152,2201776128,37.708831,0.459803,0.779661,0.843882,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.256402,13.871332,40.837262,8.211830,27.795734,0.311834,1.537877,1.156486,287,239630258,119815129,268647984,125431463,1,1.132911,none
48,1946497024,4148273152,2201776128,34.279749,0.459147,0.774737,0.845666,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.311952,13.921087,40.832858,8.250237,28.025863,0.310712,1.622548,1.173887,287,239630258,119815129,268647984,125431463,1,1.135021,none
49,1946497024,4148273152,2201776128,37.733598,0.459699,0.780488,0.843882,20.231823,239630258,119815129,239630258,119815129,239630258,3,2,5.959166,14.041970,40.493986,8.212615,27.833801,0.310430,1.498127,1.162659,287,239630258,119815129,268647984,125431463,1,1.137276,none
50,1946497024,4148273152,2201776128,37.698413,0.459812,0.753327,0.843882,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.301183,13.689844,40.640469,8.221870,27.863229,0.313978,1.475902,1.156570,287,239630258,119815129,268647984,125431463,1,1.136653,none
51,1946513408,4148273152,2201759744,38.078292,0.461698,0.781316,0.844773,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.153218,13.758656,39.560765,8.263082,27.667564,0.311420,1.502675,1.171014,287,239630258,119815129,268647984,125431463,1,1.137712,none
52,1946513408,4148273152,2201759744,37.638669,0.459793,0.778013,0.848356,20.146905,239630258,119815129,239630258,119815129,239630258,3,2,6.334083,13.708856,40.882845,8.194868,28.001515,0.302438,1.615595,1.152257,287,239630258,119815129,268647984,125431463,1,1.135164,none
53,1946513408,4148273152,2201759744,37.659236,0.459675,0.764278,0.847458,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.258761,13.827198,40.783427,8.222231,27.786845,0.311042,1.494114,1.155347,287,239630258,119815129,268647984,125431463,1,1.131857,none
54,1946480640,4148273152,2201792512,37.723126,0.459474,0.778013,0.842993,20.231823,239630258,119815129,239630258,119815129,239630258,3,2,6.288309,13.914031,40.709614,8.227728,28.083204,0.310112,1.505131,1.157835,287,239630258,119815129,268647984,125431463,1,1.135164,none
55,1946513408,4148273152,2201759744,37.559809,0.459929,0.779661,0.844773,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.238414,13.934767,40.953315,8.231511,27.780317,0.304030,1.496949,1.156530,287,239630258,119815129,268647984,125431463,1,1.141039,none
56,1946513408,4148273152,2201759744,38.746106,0.459130,0.778013,0.851064,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.316750,13.896951,40.018416,8.258065,28.117294,0.310312,1.513826,1.173931,287,239630258,119815129,268647984,125431463,1,1.135933,none
57,1946513408,4148273152,2201759744,37.584695,0.459873,0.764278,0.845666,19.979188,239630258,119815129,239630258,119815129,239630258,3,2,6.270402,13.830880,40.644282,8.186365,27.746147,0.311491,1.496722,1.157232,287,239630258,119815129,268647984,125431463,1,1.139683,none
58,1946513408,4148273152,2201759744,37.604125,0.459259,0.770681,0.847458,20.231823,239630258,119815129,239630258,119815129,239630258,3,2,6.299989,13.846908,41.030983,8.250550,28.075973,0.314597,1.507119,1.169391,287,239630258,119815129,268647984,125431463,1,1.133544,none
59,1946513408,4148273152,2201759744,37.569721,0.459378,0.779661,0.842993,20.125786,239630258,119815129,239630258,119815129,239630258,3,2,6.246212,13.569189,40.814173,8.259039,27.908922,0.311207,1.496287,1.145223,287,239630258,119815129,268647984,125431463,1,1.138624,none
60,1946386432,4148273152,2201886720,38.647909,0.459474,0.773922,0.845666,20.189274,239630258,119815129,239630258,119815129,239630258,3,2,6.299034,13.751891,39.868553,8.282267,29.764897,0.305947,1.474668,1.171403,287,239630258,119815129,268647984,125431463,1,1.133544,none
61,1946386432,4148273152,2201886720,37.857143,0.459765,0.781316,0.840336,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.113311,13.572228,40.336261,8.216902,27.915288,0.312001,1.529283,1.126854,287,239630258,119815129,268647984,125431463,1,1.139979,none
62,1946386432,4148273152,2201886720,37.554585,0.459563,0.772298,0.844773,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.298079,13.876194,40.866106,8.258718,27.982483,0.315098,1.612415,1.154691,287,239630258,119815129,268647984,125431463,1,1.132771,none
63,1946353664,4148273152,2201919488,37.634409,0.459165,0.781316,0.842993,20.382166,239630258,119815129,239630258,119815129,239630258,3,2,6.289141,14.011020,40.478711,8.038846,27.888386,0.312001,1.468461,1.176873,287,239630258,119815129,268647984,125431463,1,1.138004,none
64,1946386432,4148273152,2201886720,37.663366,0.459648,0.774737,0.842993,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.284980,13.876553,41.114771,8.083398,28.004402,0.307392,1.489409,1.166490,287,239630258,119815129,268647984,125431463,1,1.132771,none
65,1946386432,4148273152,2201886720,37.584695,0.458988,0.780488,0.840336,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.257339,14.000911,40.662297,8.186782,27.563909,0.311929,1.500682,1.169167,287,239630258,119815129,268647984,125431463,1,1.134249,none
66,1946386432,4148273152,2201886720,37.712703,0.459859,0.775553,0.841220,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.288309,13.839084,40.658134,8.271961,28.112100,0.311908,1.501080,1.159760,287,239630258,119815129,268647984,125431463,1,1.132771,none
67,1946386432,4148273152,2201886720,38.419190,0.458663,0.775553,0.842993,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.261809,13.891715,40.565644,8.201477,27.618397,0.310936,1.498638,1.168144,287,239630258,119815129,268647984,125431463,1,1.112487,none
68,1946386432,4148273152,2201886720,37.648928,0.458885,0.777191,0.848356,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.236164,13.445254,40.722901,7.828465,28.060877,0.309972,1.513596,1.146970,287,239630258,119815129,268647984,125431463,1,1.131857,none
69,1946386432,4148273152,2201886720,37.619427,0.458750,0.780488,0.831601,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.255443,13.984980,40.294618,8.218039,27.889524,0.200270,1.495702,1.177856,287,239630258,119815129,268647984,125431463,1,1.116303,none
70,1946386432,4148273152,2201886720,37.688044,0.458930,0.776371,0.835946,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.329018,13.660292,40.662753,8.220317,27.952801,0.308914,1.505360,1.163540,287,239630258,119815129,268647984,125431463,1,1.135021,none
71,1946386432,4148273152,2201886720,37.758347,0.459633,0.768267,0.834202,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.113294,13.979147,40.064210,8.261546,27.280240,0.312060,1.534149,1.169346,287,239630258,119815129,268647984,125431463,1,1.117098,none
72,1946353664,4148273152,2201919488,37.673680,0.460540,0.771488,0.849257,20.231823,239630258,119815129,239630258,119815129,239630258,2,2,6.299750,13.961678,39.735199,8.280691,28.019562,0.309341,1.620820,1.133207,287,239630258,119815129,268647984,125431463,1,1.127883,none
73,1946353664,4148273152,2201919488,37.559809,0.460412,0.779661,0.844773,20.231823,239630258,119815129,239630258,119815129,239630258,3,2,6.150418,13.765427,40.605670,8.269933,27.978439,0.309539,1.496825,1.163893,287,239630258,119815129,268647984,125431463,1,1.138771,none
74,1946386432,4148273152,2201886720,38.343799,0.459769,0.766667,0.834202,20.041754,239630258,119815129,239630258,119815129,239630258,3,2,6.276435,13.701804,40.702526,8.253053,28.014252,0.318218,1.498978,1.156310,287,239630258,119815129,268647984,125431463,1,1.135164,none
75,1946386432,4148273152,2201886720,37.584695,0.458859,0.766667,0.843882,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.199714,13.980737,40.754946,8.132755,30.033804,0.310996,1.502846,1.173354,287,239630258,119815129,268647984,125431463,1,1.140426,none
76,1946386432,4148273152,2201886720,37.574553,0.459130,0.741188,0.848356,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.292594,13.792580,40.396554,8.268420,27.902756,0.308712,1.505646,1.152869,287,239630258,119815129,268647984,125431463,1,1.135021,none
77,1946386432,4148273152,2201886720,37.584695,0.461334,0.781316,0.844773,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.255443,14.012618,40.894713,8.157145,27.948230,0.310007,1.523989,1.158067,287,239630258,119815129,268647984,125431463,1,1.139683,none
78,1946386432,4148273152,2201886720,37.549722,0.459431,0.777191,0.842993,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.298556,13.300029,40.637390,8.272506,28.083384,0.312277,1.474837,1.120234,287,239630258,119815129,268647984,125431463,1,1.131857,none
79,1946386432,4148273152,2201886720,37.509976,0.458837,0.766667,0.842105,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.257317,14.002507,40.681241,7.973008,29.427692,0.303378,1.608822,1.162747,287,239630258,119815129,268647984,125431463,1,1.129066,none
80,1946386432,4148273152,2201886720,37.628866,0.459944,0.776371,0.813835,20.189274,239630258,119815129,239630258,119815129,239630258,3,2,6.308119,13.715579,42.214904,8.282897,27.921536,0.310124,1.610769,1.172200,287,239630258,119815129,268647984,125431463,1,1.129474,none
81,1946353664,4148273152,2201919488,38.756355,0.459036,0.780488,0.842993,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.270164,13.983919,40.240546,8.258099,27.768927,0.312179,1.495023,1.174910,287,239630258,119815129,268647984,125431463,1,1.143309,none
82,1946386432,4148273152,2201886720,37.574553,0.459173,0.773109,0.844773,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.236866,13.656671,41.559813,8.303745,28.000152,0.310083,1.507308,1.172053,287,239630258,119815129,268647984,125431463,1,1.135933,none
83,1946386432,4148273152,2201886720,37.807784,0.459675,0.750255,0.841220,20.062696,239630258,119815129,239630258,119815129,239630258,3,2,6.118965,13.986571,40.376973,7.742165,27.744390,0.310889,1.601263,1.169524,287,239630258,119815129,268647984,125431463,1,1.132911,none
84,1946386432,4148273152,2201886720,37.899724,0.459677,0.774737,0.844773,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.288309,13.949529,40.744257,8.292683,27.848957,0.310512,1.589968,1.157600,287,239630258,119815129,268647984,125431463,1,1.134249,none
85,1946386432,4148273152,2201886720,37.559809,0.459718,0.781316,0.829016,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.242207,13.782124,40.122994,8.173547,27.727480,0.311385,1.608215,1.174138,287,239630258,119815129,268647984,125431463,1,1.139979,none
86,1946386432,4148273152,2201886720,37.554585,0.459836,0.778836,0.847458,20.295983,239630258,119815129,239630258,119815129,239630258,3,2,6.305964,13.892460,40.815783,8.262454,27.895076,0.311971,1.510207,1.162130,287,239630258,119815129,268647984,125431463,1,1.135164,none
87,1946386432,4148273152,2201886720,37.584695,0.459036,0.778013,0.843882,20.382166,239630258,119815129,239630258,119815129,239630258,3,2,6.267731,13.823518,40.406627,8.240467,28.473375,0.311574,1.538053,1.166236,287,239630258,119815129,268647984,125431463,1,1.140127,none
88,1946386432,4148273152,2201886720,37.604125,0.459188,0.773922,0.848356,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.314350,13.963265,40.770080,8.221248,28.052530,0.311136,1.506104,1.160146,287,239630258,119815129,268647984,125431463,1,1.135021,none
89,1946353664,4148273152,2201919488,37.509976,0.459826,0.759546,0.845666,19.712526,239630258,119815129,239630258,119815129,239630258,3,2,6.103599,13.890587,40.230795,8.244610,27.848680,0.311716,1.495977,1.134630,287,239630258,119815129,268647984,125431463,1,1.136653,none
90,1946353664,4148273152,2201919488,37.604125,0.459854,0.773922,0.849257,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.322998,13.809434,40.688950,8.086514,27.960203,0.314406,1.614554,1.163231,287,239630258,119815129,268647984,125431463,1,1.132632,none
91,1946386432,4148273152,2201886720,37.584695,0.458947,0.781316,0.827301,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.250237,13.626654,40.787874,8.239615,27.686911,0.310336,1.536652,1.163500,287,239630258,119815129,268647984,125431463,1,1.123431,none
92,1946386432,4148273152,2201886720,37.599364,0.459770,0.777191,0.849257,20.253165,239630258,119815129,239630258,119815129,239630258,3,2,6.305964,13.024322,40.669402,8.163189,28.030188,0.302818,1.505646,1.161643,287,239630258,119815129,268647984,125431463,1,1.129474,none
93,1946386432,4148273152,2201886720,37.955626,0.459892,0.779661,0.842105,19.958420,239630258,119815129,239630258,119815129,239630258,3,2,6.204462,14.036624,40.939673,8.254967,27.629931,0.311906,1.492312,1.106958,287,239630258,119815129,268647984,125431463,1,1.091371,none
94,1946386432,4148273152,2201886720,37.554585,0.461313,0.773922,0.846561,20.125786,239630258,119815129,239630258,119815129,239630258,3,2,6.328536,13.896664,40.905974,8.254413,27.960203,0.313835,1.504159,1.129138,287,239630258,119815129,268647984,125431463,1,1.133544,none
95,1946386432,4148273152,2201886720,38.053797,0.459699,0.779661,0.837696,20.360551,239630258,119815129,239630258,119815129,239630258,3,2,6.273901,13.689244,40.507285,8.239530,27.646857,0.311515,1.503017,1.169301,287,239630258,119815129,268647984,125431463,1,1.140741,none
96,1946386432,4148273152,2201886720,37.613952,0.459038,0.761117,0.834202,20.231823,239630258,119815129,239630258,119815129,239630258,2,2,6.313870,13.785782,40.791581,8.258167,27.966198,0.311420,1.615227,1.143717,287,239630258,119815129,268647984,125431463,1,1.134249,none
97,1946386432,4148273152,2201886720,37.659236,0.458993,0.771488,0.803213,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.279459,13.994534,40.600764,8.924881,27.847090,0.308991,1.532756,1.166591,287,239630258,119815129,268647984,125431463,1,1.139683,none
98,1946386432,4148273152,2201886720,38.602654,0.459259,0.770681,0.844773,20.295983,239630258,119815129,239630258,119815129,239630258,3,2,6.330464,13.880388,42.060705,8.271849,30.184518,0.317448,1.443389,1.156267,287,239630258,119815129,268647984,125431463,1,1.120042,none
99,1946386432,4148273152,2201886720,37.659236,0.458729,0.773109,0.806452,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.252133,13.861990,40.622627,8.236229,27.785347,0.310900,1.538637,1.159960,287,239630258,119815129,268647984,125431463,1,1.141039,none
100,1946386432,4148273152,2201886720,37.554585,0.459769,0.774737,0.849257,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.325886,13.917934,40.593198,8.285801,28.211000,0.310078,1.620265,1.167169,287,239630258,119815129,268647984,125431463,1,1.134249,none
101,1945808896,4148273152,2202464256,37.584695,0.459699,0.774737,0.845666,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.256628,13.965909,40.605373,8.177070,28.263337,0.312417,1.536827,1.167744,287,239630258,119815129,268647984,125431463,1,1.138771,none
